OBJECTID,Lat,Long,Alt_ft,Tree_ID,Zone,Group_,Leaf_Fall,Common_Name,Genus,Species_Name,Family,Origin,Age_Class,CBH,DBH,Tree_Height_ft,Canopy_Radius_ft,Root_Zone_Infringement,Condition_Class,Priority,Intrest_Houses,Trust_Prop,Trust_Prop_Address,Champion_Tree,Memorial_Tree,Blue_Mtn_Native,Pacific_Slope_Native,Staked,Comments
46,46.07278,-118.33066,980,A46,A,Broadleaf,Deciduous,Whitebarked Himalayan Birch,Betula,Betula utilis 'Jacquemontii',Betulaceae,,15,39,12.42,37,13,0,Good,A,,,,,,,,,
47,46.07275,-118.33071,986,A47,A,Broadleaf,Deciduous,Whitebarked Himalayan Birch,Betula,Betula utilis 'Jacquemontii',Betulaceae,,15,32,10.19,35,16,0,Good,A,,,,,,,,,
48,46.07273,-118.33076,992,A48,A,Broadleaf,Deciduous,Whitebarked Himalayan Birch,Betula,Betula utilis 'Jacquemontii',Betulaceae,,15,34,10.83,35,12,0,Good,A,,,,,,,,,
49,46.07269,-118.33074,987,A49,A,Broadleaf,Deciduous,Redbud,Cercis,Cercis,Fabaceae,,15,22,7,,10,0,Poor,A,,,,,,,,,
50,46.07262,-118.33086,986,A50,A,Broadleaf,Deciduous,Silver Maple,Acer,Acer saccharinum,Sapindaceae,,60,188,59.87,90,38,0,Good,A,,,,,,,,,
51,46.07273,-118.33085,987,A51,A,Broadleaf,Deciduous,Red Maple,Acer,Acer rubrum,Sapindaceae,,15,31,9.87,,7,0,Good,A,,,,,,,,,
52,46.07272,-118.33086,988,A52,A,Broadleaf,Deciduous,Red Maple,Acer,Acer rubrum,Sapindaceae,,15,28,8.92,38,7,0,Good,A,,,,,,,,,
53,46.07268,-118.33103,990,A53,A,Broadleaf,Deciduous,Catalpa,Catalpa,Catalpa bignonioides,Bignoniaceae,,12,45,14.33,32,14,0,Good,A,,,,,,,,,
54,46.07276,-118.33106,989,A54,A,Conifer,Evergreen,Douglas Fir,Pseudotsuga,Pseudotsuga menziesii,Pinaceae,,85,118,37.58,87,14.5,0,Good,A,,,,,,,,next,
56,46.07267,-118.33142,977,A56,A,Conifer,Evergreen,Colorado Spruce,Picea,Picea pungens,Pinaceae,Rocky Mountains,15,35,11.15,24,6.5,0,Good,A,,,,,,,,,
57,46.07274,-118.33144,981,A57,A,Conifer,Evergreen,Tolleson's Blue Weeping Juniper,Juniperus,Juniperus scopulorum 'Tolleson's Weeping',Cupressaceae,,15,19,6.05,7,6,0,Good,A,,,,,,,,,
58,46.07265,-118.33154,984,A58,A,Broadleaf,Deciduous,Catalpa,Catalpa,Catalpa bignonioides,Bignoniaceae,,12,40,12.74,25,14,0,Good,A Pollarded,,,,,,,,,
59,46.07273,-118.33155,986,A59,A,Broadleaf,Deciduous,White Ash (Autumn Purple),Fraxinus,Fraxinus americana 'Autumn Purple',Oleaceae,,15,33,10.51,35,14,0,Good,A,,,,,,,,,
60,46.07274,-118.3316,986,A60,A,Broadleaf,Deciduous,White Ash (Autumn Purple),Fraxinus,Fraxinus americana 'Autumn Purple',Oleaceae,,15,31,9.87,35,10,0,Good,A,,,,,,,,,
61,46.07269,-118.33165,979,A61,A,Broadleaf,Deciduous,White Ash (Autumn Purple),Fraxinus,Fraxinus americana 'Autumn Purple',Oleaceae,,15,37,11.78,35,14.5,0,Good,A,,,,,,,,,
62,46.07264,-118.33174,978,A62,A,Broadleaf,Deciduous,Green Ash,Fraxinus,Fraxinus pennsylvanica,Oleaceae,,15,36,11.46,36,14,0,Good,A,,,,,,,,,
63,46.07275,-118.33182,980,A63,A,Broadleaf,Deciduous,Silver Maple,Acer,Acer saccharinum,Sapindaceae,,15,35,11.15,35,9,0,Good,A,,,,,,,,,
64,46.07268,-118.33184,980,A64,A,Broadleaf,Deciduous,Silver Maple,Acer,Acer saccharinum,Sapindaceae,,15,34,10.83,35,10,0,Good,A,,,,,,,,,
65,46.07255,-118.33176,986,A65,A,Broadleaf,Deciduous,Silver Maple,Acer,Acer saccharinum,Sapindaceae,,45,116,36.94,68,22,0,Good,A,,,,,,,,,
66,46.07254,-118.33164,986,A66,A,Conifer,Evergreen,White Spruce,Picea,Picea glauca 'Densata',Pinaceae,,15,24,7.64,20,6,0,Good,A,,,,,,,,,
67,46.0725,-118.33162,973,A67,A,Conifer,Evergreen,White Spruce,Picea,Picea glauca 'Densata',Pinaceae,,15,16,5.1,15,3,0,Good,A,,,,,,,,,
68,46.0721,-118.331055,994,A68,A,Broadleaf,Deciduous,Sweet Gum (seedless),Liquidambar,Liquidambar styraciflua,Altingiaceae,,7,4,1.27,9,2,0,Good,A,,,,,,,,,
69,46.072649,-118.332036,980,A69,A,Broadleaf,Deciduous,Ash,Fraxinus,Fraxinus,Oleaceae,,10,6,1.91,14,4,0,Good,B,,,,,,,,,
70,46.072708,-118.332048,984,A70,A,Broadleaf,Deciduous,Ash,Fraxinus,Fraxinus,Oleaceae,,10,4,1.27,12,4,0,Good,B,,,,,,,,,
71,46.072776,-118.331922,984,A71,A,Broadleaf,Deciduous,Ash,Fraxinus,Fraxinus,Oleaceae,,10,4,1.27,10,4,0,Good,B,,,,,,,,,
72,46.072529,-118.331526,975,A72     ,A,Conifer,Deciduous,Japanese Larch,Larix,Larix kaempferi,Pinaceae,,3,1,0.31,5,1,0,Good,A,,,,,,,,,
73,46.072403,-118.332211,1032,A73,A,Broadleaf,Deciduous,Dogwood,Cornus,Cornus,Cornaceae,,5,6,1.91,12,6,0,Good,B,,Yes, 610 Main St.,,,,,,
74,46.072521,-118.33179,987,A74,A,Broadleaf,Deciduous,Catalpa,Catalpa,Catalpa bignonioides,Bignoniaceae,,4,9,2.87,10,8,0,Good,A Pollarded,,,,,,,,,
